,coefficient
ssl_final_state domain_registration_length,0.09526163640527353
age_of_domain links_pointing_to_page,-0.09515577924259039
having_ip_address google_index,0.09354412582053385
having_ip_address having_at_symbol,0.0911954541547152
having_sub_domain rightclick,0.09104976022140646
popup_window dns_record,0.08909133346502261
age_of_domain,-0.08889312665943047
having_at_symbol web_traffic,0.08847487608252957
shortening_service popup_window,0.08811602324621022
favicon page_rank,-0.08592729531970913
url_length having_sub_domain,0.08442448628283962
server_form_handler age_of_domain,0.08328318652138697
abnormal_url google_index,0.08317111196658937
ssl_final_state links_in_tags,0.08132855986913097
prefix_suffix popup_window,-0.08079596674573745
redirect age_of_domain,-0.08077063705592498
having_at_symbol submitting_to_email,-0.079331278759203
prefix_suffix google_index,0.07535262172630913
page_rank google_index,-0.07443555147762894
ssl_final_state statistical_report,0.0737639523346192
shortening_service page_rank,0.07107783882688891
prefix_suffix request_url,-0.07055618218681974
url_of_anchor abnormal_url,-0.07016798809662836
having_sub_domain iframe,-0.06917754904843793
submitting_to_email statistical_report,-0.06592733548502672
shortening_service domain_registration_length,-0.06585123978595639
request_url submitting_to_email,0.0628057683462536
request_url age_of_domain,0.06236906227726876
domain_registration_length favicon,-0.06089786558864832
having_at_symbol abnormal_url,0.05896436177990197
domain_registration_length redirect,-0.05855169241528938
having_ip_address iframe,-0.05539235072191525
abnormal_url redirect,-0.055181642391857036
age_of_domain dns_record,0.05431118323851262
url_length domain_registration_length,0.05428110073880479
having_ip_address having_sub_domain,-0.054194101417470615
shortening_service web_traffic,-0.05367351364033647
having_ip_address redirect,0.05144497179972788
url_length links_in_tags,0.04837809662166463
having_ip_address web_traffic,-0.04561670342914899
having_at_symbol double_slash_redirecting,-0.04480124989945
request_url web_traffic,-0.042603482765616485
submitting_to_email iframe,-0.04246894451086321
shortening_service age_of_domain,-0.042139665312457296
having_at_symbol url_of_anchor,0.04094172280323329
url_of_anchor statistical_report,-0.03832660078389756
dns_record google_index,-0.03803983155687291
page_rank,0.037468529400479074
url_of_anchor dns_record,-0.036709041610155334
domain_registration_length request_url,-0.03587699662296848
having_ip_address server_form_handler,-0.03568532049820562
links_in_tags google_index,0.03500724436226449
having_ip_address favicon,0.03491675014930278
having_at_symbol favicon,0.034801355190641335
shortening_service redirect,0.03452728145123904
links_in_tags abnormal_url,0.03281073895708574
shortening_service google_index,-0.030804882941028594
on_mouseover statistical_report,0.0300475465108671
domain_registration_length age_of_domain,0.027138168647998145
